IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,ObjectId,Meldedatum,IdLandkreis,Datenstand,NeuerFall,NeuerTodesfall
9,Bayern,LK Landsberg a.Lech,A80+,M,1,1,629650,2020-03-28T00:00:00.000Z,09181,01.04.2020 00:00,0,1
9,Bayern,LK Landsberg a.Lech,A80+,M,1,0,629651,2020-03-28T00:00:00.000Z,09181,01.04.2020 00:00,0,-9
9,Bayern,LK Landsberg a.Lech,A80+,M,1,1,629652,2020-03-30T00:00:00.000Z,09181,01.04.2020 00:00,0,0
9,Bayern,LK Landsberg a.Lech,A80+,W,1,0,629653,2020-03-28T00:00:00.000Z,09181,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A00-A04,M,1,0,629654,2020-03-28T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A05-A14,M,2,0,629655,2020-03-18T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A05-A14,M,1,0,629656,2020-03-21T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A05-A14,M,1,0,629657,2020-03-22T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A05-A14,M,1,0,629658,2020-03-25T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A05-A14,M,1,0,629659,2020-03-27T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A05-A14,M,1,0,629660,2020-03-28T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A05-A14,M,1,0,629661,2020-03-31T00:00:00.000Z,09182,01.04.2020 00:00,1,-9
9,Bayern,LK Miesbach,A05-A14,unbekannt,1,0,629662,2020-03-31T00:00:00.000Z,09182,01.04.2020 00:00,1,-9
9,Bayern,LK Miesbach,A05-A14,W,1,0,629663,2020-03-14T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A05-A14,W,1,0,629664,2020-03-21T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A05-A14,W,1,0,629665,2020-03-31T00:00:00.000Z,09182,01.04.2020 00:00,1,-9
9,Bayern,LK Miesbach,A15-A34,M,1,0,629666,2020-03-13T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A15-A34,M,2,0,629667,2020-03-14T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A15-A34,M,2,0,629668,2020-03-18T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A15-A34,M,2,0,629669,2020-03-19T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A15-A34,M,3,0,629670,2020-03-21T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A15-A34,M,2,0,629671,2020-03-22T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A15-A34,M,1,0,629672,2020-03-23T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A15-A34,M,2,0,629673,2020-03-24T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A15-A34,M,2,0,629674,2020-03-25T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A15-A34,M,5,0,629675,2020-03-26T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A15-A34,M,3,0,629676,2020-03-27T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A15-A34,M,6,0,629677,2020-03-28T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A15-A34,M,1,0,629678,2020-03-29T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A15-A34,M,1,0,629679,2020-03-30T00:00:00.000Z,09182,01.04.2020 00:00,1,-9
9,Bayern,LK Miesbach,A15-A34,M,1,0,629680,2020-03-31T00:00:00.000Z,09182,01.04.2020 00:00,1,-9
9,Bayern,LK Miesbach,A15-A34,unbekannt,1,0,629681,2020-03-27T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A15-A34,W,2,0,629682,2020-03-13T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A15-A34,W,2,0,629683,2020-03-14T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A15-A34,W,3,0,629684,2020-03-19T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A15-A34,W,7,0,629685,2020-03-21T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A15-A34,W,1,0,629686,2020-03-22T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A15-A34,W,1,0,629687,2020-03-23T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A15-A34,W,3,0,629688,2020-03-24T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A15-A34,W,4,0,629689,2020-03-25T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A15-A34,W,5,0,629690,2020-03-26T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A15-A34,W,2,0,629691,2020-03-27T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A15-A34,W,3,0,629692,2020-03-28T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A15-A34,W,2,0,629693,2020-03-29T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A15-A34,W,3,0,629694,2020-03-30T00:00:00.000Z,09182,01.04.2020 00:00,1,-9
9,Bayern,LK Miesbach,A15-A34,W,1,0,629695,2020-03-31T00:00:00.000Z,09182,01.04.2020 00:00,1,-9
9,Bayern,LK Miesbach,A35-A59,M,1,0,629696,2020-03-05T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A35-A59,M,7,0,629697,2020-03-13T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A35-A59,M,5,0,629698,2020-03-14T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A35-A59,M,5,0,629699,2020-03-18T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A35-A59,M,2,0,629700,2020-03-19T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A35-A59,M,3,0,629701,2020-03-20T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A35-A59,M,17,0,629702,2020-03-21T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A35-A59,M,9,0,629703,2020-03-22T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A35-A59,M,7,0,629704,2020-03-23T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A35-A59,M,4,0,629705,2020-03-24T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A35-A59,M,2,0,629706,2020-03-25T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A35-A59,M,2,0,629707,2020-03-26T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A35-A59,M,5,0,629708,2020-03-27T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A35-A59,M,4,0,629709,2020-03-28T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A35-A59,M,3,0,629710,2020-03-29T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A35-A59,M,3,0,629711,2020-03-30T00:00:00.000Z,09182,01.04.2020 00:00,1,-9
9,Bayern,LK Miesbach,A35-A59,M,1,0,629712,2020-03-31T00:00:00.000Z,09182,01.04.2020 00:00,1,-9
9,Bayern,LK Miesbach,A35-A59,unbekannt,2,0,629713,2020-03-23T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A35-A59,unbekannt,2,0,629714,2020-03-25T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A35-A59,unbekannt,1,0,629715,2020-03-26T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A35-A59,unbekannt,1,0,629716,2020-03-30T00:00:00.000Z,09182,01.04.2020 00:00,1,-9
9,Bayern,LK Miesbach,A35-A59,unbekannt,2,0,629717,2020-03-31T00:00:00.000Z,09182,01.04.2020 00:00,1,-9
9,Bayern,LK Miesbach,A35-A59,W,3,0,629718,2020-03-13T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A35-A59,W,4,0,629719,2020-03-14T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A35-A59,W,5,0,629720,2020-03-18T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A35-A59,W,4,0,629721,2020-03-19T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A35-A59,W,9,0,629722,2020-03-21T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A35-A59,W,9,0,629723,2020-03-22T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A35-A59,W,4,0,629724,2020-03-23T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A35-A59,W,1,0,629725,2020-03-24T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A35-A59,W,6,0,629726,2020-03-25T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A35-A59,W,7,0,629727,2020-03-26T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A35-A59,W,5,0,629728,2020-03-27T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A35-A59,W,12,0,629729,2020-03-28T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A35-A59,W,3,0,629730,2020-03-29T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A35-A59,W,5,0,629731,2020-03-30T00:00:00.000Z,09182,01.04.2020 00:00,1,-9
9,Bayern,LK Miesbach,A35-A59,W,5,0,629732,2020-03-31T00:00:00.000Z,09182,01.04.2020 00:00,1,-9
9,Bayern,LK Miesbach,A60-A79,M,1,0,629733,2020-03-13T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A60-A79,M,1,0,629734,2020-03-14T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A60-A79,M,5,0,629735,2020-03-21T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A60-A79,M,4,0,629736,2020-03-22T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A60-A79,M,3,0,629737,2020-03-23T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A60-A79,M,1,0,629738,2020-03-24T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A60-A79,M,1,0,629739,2020-03-25T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A60-A79,M,2,0,629740,2020-03-26T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A60-A79,M,6,0,629741,2020-03-27T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A60-A79,M,3,0,629742,2020-03-28T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A60-A79,M,1,0,629743,2020-03-29T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A60-A79,M,1,0,629744,2020-03-31T00:00:00.000Z,09182,01.04.2020 00:00,1,-9
9,Bayern,LK Miesbach,A60-A79,unbekannt,1,0,629745,2020-03-28T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A60-A79,W,2,0,629746,2020-03-13T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A60-A79,W,1,0,629747,2020-03-14T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A60-A79,W,4,0,629748,2020-03-21T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A60-A79,W,1,0,629749,2020-03-22T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A60-A79,W,1,0,629750,2020-03-23T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A60-A79,W,2,0,629751,2020-03-24T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A60-A79,W,1,0,629752,2020-03-26T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A60-A79,W,3,0,629753,2020-03-27T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A60-A79,W,1,0,629754,2020-03-28T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A60-A79,W,1,0,629755,2020-03-30T00:00:00.000Z,09182,01.04.2020 00:00,1,-9
9,Bayern,LK Miesbach,A60-A79,W,3,0,629756,2020-03-31T00:00:00.000Z,09182,01.04.2020 00:00,1,-9
9,Bayern,LK Miesbach,A80+,M,2,0,629757,2020-03-23T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,A80+,M,1,0,629758,2020-03-30T00:00:00.000Z,09182,01.04.2020 00:00,1,-9
9,Bayern,LK Miesbach,A80+,W,1,0,629759,2020-03-23T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Miesbach,unbekannt,W,1,0,629760,2020-03-22T00:00:00.000Z,09182,01.04.2020 00:00,0,-9
9,Bayern,LK Mühldorf a.Inn,A00-A04,M,1,0,629761,2020-03-24T00:00:00.000Z,09183,01.04.2020 00:00,0,-9
9,Bayern,LK Mühldorf a.Inn,A00-A04,W,1,0,629762,2020-03-26T00:00:00.000Z,09183,01.04.2020 00:00,0,-9
9,Bayern,LK Mühldorf a.Inn,A00-A04,W,1,0,629763,2020-03-29T00:00:00.000Z,09183,01.04.2020 00:00,0,-9
9,Bayern,LK Mühldorf a.Inn,A05-A14,M,1,0,629764,2020-03-21T00:00:00.000Z,09183,01.04.2020 00:00,0,-9
9,Bayern,LK Mühldorf a.Inn,A05-A14,M,2,0,629765,2020-03-25T00:00:00.000Z,09183,01.04.2020 00:00,0,-9
9,Bayern,LK Mühldorf a.Inn,A05-A14,M,1,0,629766,2020-03-27T00:00:00.000Z,09183,01.04.2020 00:00,0,-9
9,Bayern,LK Mühldorf a.Inn,A05-A14,M,1,0,629767,2020-03-28T00:00:00.000Z,09183,01.04.2020 00:00,0,-9
9,Bayern,LK Mühldorf a.Inn,A05-A14,W,1,0,629768,2020-03-21T00:00:00.000Z,09183,01.04.2020 00:00,0,-9
9,Bayern,LK Mühldorf a.Inn,A05-A14,W,1,0,629769,2020-03-28T00:00:00.000Z,09183,01.04.2020 00:00,0,-9
9,Bayern,LK Mühldorf a.Inn,A05-A14,W,1,0,629770,2020-03-29T00:00:00.000Z,09183,01.04.2020 00:00,0,-9
9,Bayern,LK Mühldorf a.Inn,A15-A34,M,1,0,629771,2020-03-17T00:00:00.000Z,09183,01.04.2020 00:00,0,-9
9,Bayern,LK Mühldorf a.Inn,A15-A34,M,1,0,629772,2020-03-19T00:00:00.000Z,09183,01.04.2020 00:00,0,-9
9,Bayern,LK Mühldorf a.Inn,A15-A34,M,3,0,629773,2020-03-21T00:00:00.000Z,09183,01.04.2020 00:00,0,-9
9,Bayern,LK Mühldorf a.Inn,A15-A34,M,3,0,629774,2020-03-24T00:00:00.000Z,09183,01.04.2020 00:00,0,-9
9,Bayern,LK Mühldorf a.Inn,A15-A34,M,1,0,629775,2020-03-26T00:00:00.000Z,09183,01.04.2020 00:00,0,-9
9,Bayern,LK Mühldorf a.Inn,A15-A34,M,6,0,629776,2020-03-27T00:00:00.000Z,09183,01.04.2020 00:00,0,-9
9,Bayern,LK Mühldorf a.Inn,A15-A34,M,3,0,629777,2020-03-28T00:00:00.000Z,09183,01.04.2020 00:00,0,-9
9,Bayern,LK Mühldorf a.Inn,A15-A34,M,2,0,629778,2020-03-29T00:00:00.000Z,09183,01.04.2020 00:00,0,-9
9,Bayern,LK Mühldorf a.Inn,A15-A34,M,1,0,629779,2020-03-30T00:00:00.000Z,09183,01.04.2020 00:00,0,-9
9,Bayern,LK Mühldorf a.Inn,A15-A34,W,1,0,629780,2020-03-18T00:00:00.000Z,09183,01.04.2020 00:00,0,-9
9,Bayern,LK Mühldorf a.Inn,A15-A34,W,1,0,629781,2020-03-19T00:00:00.000Z,09183,01.04.2020 00:00,0,-9
9,Bayern,LK Mühldorf a.Inn,A15-A34,W,3,0,629782,2020-03-21T00:00:00.000Z,09183,01.04.2020 00:00,0,-9
9,Bayern,LK Mühldorf a.Inn,A15-A34,W,3,0,629783,2020-03-24T00:00:00.000Z,09183,01.04.2020 00:00,0,-9
9,Bayern,LK Mühldorf a.Inn,A15-A34,W,3,0,629784,2020-03-25T00:00:00.000Z,09183,01.04.2020 00:00,0,-9
9,Bayern,LK Mühldorf a.Inn,A15-A34,W,3,0,629785,2020-03-26T00:00:00.000Z,09183,01.04.2020 00:00,0,-9
9,Bayern,LK Mühldorf a.Inn,A15-A34,W,3,0,629786,2020-03-27T00:00:00.000Z,09183,01.04.2020 00:00,0,-9
