IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,ObjectId,Meldedatum,IdLandkreis,Datenstand,NeuerFall,NeuerTodesfall
9,Bayern,LK Miesbach,A60-A79,M,4,0,724589,2020-03-22T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Miesbach,A60-A79,M,3,0,724590,2020-03-23T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Miesbach,A60-A79,M,1,0,724591,2020-03-24T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Miesbach,A60-A79,M,1,0,724592,2020-03-25T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Miesbach,A60-A79,M,1,0,724593,2020-03-26T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Miesbach,A60-A79,M,1,1,724594,2020-03-26T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",0,0
9,Bayern,LK Miesbach,A60-A79,M,6,0,724595,2020-03-27T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Miesbach,A60-A79,M,4,0,724596,2020-03-28T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Miesbach,A60-A79,M,1,0,724597,2020-03-29T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Miesbach,A60-A79,M,1,0,724598,2020-03-31T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Miesbach,A60-A79,M,2,0,724599,2020-04-01T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Miesbach,A60-A79,M,2,0,724600,2020-04-02T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",1,-9
9,Bayern,LK Miesbach,A60-A79,W,2,0,724601,2020-03-13T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Miesbach,A60-A79,W,1,0,724602,2020-03-14T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Miesbach,A60-A79,W,4,0,724603,2020-03-21T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Miesbach,A60-A79,W,1,0,724604,2020-03-22T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Miesbach,A60-A79,W,1,0,724605,2020-03-23T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Miesbach,A60-A79,W,2,0,724606,2020-03-24T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Miesbach,A60-A79,W,1,0,724607,2020-03-26T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Miesbach,A60-A79,W,3,0,724608,2020-03-27T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Miesbach,A60-A79,W,1,0,724609,2020-03-28T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Miesbach,A60-A79,W,1,0,724610,2020-03-30T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Miesbach,A60-A79,W,3,0,724611,2020-03-31T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Miesbach,A60-A79,W,1,0,724612,2020-04-01T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Miesbach,A60-A79,W,6,0,724613,2020-04-02T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",1,-9
9,Bayern,LK Miesbach,A80+,M,2,0,724614,2020-03-23T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Miesbach,A80+,M,1,0,724615,2020-03-30T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Miesbach,A80+,M,3,0,724616,2020-04-02T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",1,-9
9,Bayern,LK Miesbach,A80+,W,1,0,724617,2020-03-23T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Miesbach,A80+,W,1,0,724618,2020-04-01T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Miesbach,A80+,W,1,0,724619,2020-04-02T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",1,-9
9,Bayern,LK Miesbach,unbekannt,M,1,0,724620,2020-04-01T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Miesbach,unbekannt,W,1,0,724621,2020-04-02T00:00:00.000Z,09182,"04.04.2020, 00:00 Uhr",1,-9
9,Bayern,LK Mühldorf a.Inn,A00-A04,M,1,0,724622,2020-03-24T00:00:00.000Z,09183,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Mühldorf a.Inn,A00-A04,W,1,0,724623,2020-03-26T00:00:00.000Z,09183,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Mühldorf a.Inn,A00-A04,W,1,0,724624,2020-03-29T00:00:00.000Z,09183,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Mühldorf a.Inn,A05-A14,M,1,0,724625,2020-03-21T00:00:00.000Z,09183,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Mühldorf a.Inn,A05-A14,M,2,0,724626,2020-03-25T00:00:00.000Z,09183,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Mühldorf a.Inn,A05-A14,M,1,0,724627,2020-03-27T00:00:00.000Z,09183,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Mühldorf a.Inn,A05-A14,M,1,0,724628,2020-03-28T00:00:00.000Z,09183,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Mühldorf a.Inn,A05-A14,W,1,0,724629,2020-03-21T00:00:00.000Z,09183,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Mühldorf a.Inn,A05-A14,W,1,0,724630,2020-03-28T00:00:00.000Z,09183,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Mühldorf a.Inn,A05-A14,W,1,0,724631,2020-03-29T00:00:00.000Z,09183,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Mühldorf a.Inn,A15-A34,M,1,0,724632,2020-03-17T00:00:00.000Z,09183,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Mühldorf a.Inn,A15-A34,M,1,0,724633,2020-03-19T00:00:00.000Z,09183,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Mühldorf a.Inn,A15-A34,M,3,0,724634,2020-03-21T00:00:00.000Z,09183,"04.04.2020, 00:00 Uhr",0,-9
9,Bayern,LK Mühldorf a.Inn,A15-A34,M,3,0,724635,2020-03-24T00:00:00.000Z,09183,"04.04.2020, 00:00 Uhr",0,-9
